我的账户	101000
教育储蓄可以存多久	教育储蓄存期为一年、三年、五年。
教育储蓄最高限额是多少	教育储蓄最低起存金额为：50元人民币。最高限额：每一账户本金合计最高限额为2万。
教育储蓄如何开户	教育储蓄开户时采取实名制，需持储户本人（学生）户口簿或居民身份证到济宁银行任一网点以储户本人（学生）的姓名开立存款账户。
教育储蓄存款方式	教育储蓄存款，开户时储户应与银行约定每月固定存入的金额，分次存入，途中如有漏存，应在次月补存；未补存者视同违约，对违约后存入部分视同活期存款管理。
七天通知存款	七天通知存款必须提前七天通知约定支取存款。
一天通知存款	一天通知存款必须提前一天通知约定支取存款。
通知存款的定义	通知存款是一种不约定存期，支取时需提前通知金融机构，约定支取存款日期和金额的储蓄存款。
通知存款的起存金额	通知存款起存金额个人为5万元，单位为50万元。
通知存款种类利率	通知存款种类：1.一天通知存款：提前一天通知约定支取存款，年利率0.96%。2.七天通知存款：提前七天通知约定支取存款，年利率1.62%。
个人通知存款的提前支取	如提前支取通知存款，所支取的部分，将按活期存款利率计算利息。
个人通知存款的支取	如想支取通知存款请在预约到期日，携带本人有效证件和相关存款单据，到营业网点办理提款手续。
通知存款能否自动转存	七天通知存款可支持自动转存，一天通知存款不支持。
个人通知存款的预约转存	您可根据需要设置通知存款预约转存功能。
通知存款的利息计算	通知存款计息方式如下：1.通知存款按支取日挂牌公告的相应利率和实际存期计息，利随本清。2.实际存期不足通知期的，支取部分按活期存款利率计息。3.未提前通知而支取的，支取部分按活期存款利率计息。4.支取金额不足最低支取金额的，按活期存款利率计息。5.支取金额不足或超过约定金额的，不足或超过部分按活期存款利率计息。6.已办理通知手续而提前或逾期支取的，支取部分按活期存款利率计息。7.已办理通知手续而不支取或在通知期内取消通知的，通知期内不计息。
个人通知存款的部分支取	部分提取通知存款时，每次提取的金额应大于通知存款的最低起存金额（人民币5万元（含））。
通知存款如何办理	若您想办理通知存款，您可以进入我行手机银行、电话银行或网上银行，根据提示进行通知存款的开户；或本人持有效身份证件、账户到我行任一网点办理。
零存整取的定义	零存整取是指开户时约定存期，金额自定，每月固定存入一次，中途如有漏存，应在次月补存，到期一次支取本息的储蓄存款。
零存整取起存金额	零存整取开立起存金额最小为5元人民币。
零存整取续存日期	零存整取需每月手动操作续存，自然月当月任一天续存都可以。
零存整取利息计算	零存整取按您存入日计算利息。
零存整取漏存或违约规定	零存整取中途如有漏存，应在次月补齐，未补存者，视同违约，对违约后存入的部分，支取时按活期利率计息。
零存整取的利率是多少	零存整取的利率：一年期的年利率为2.82%，三年期的年利率为3.06%，五年期的年利率为3.30%
零存整取如何办理	若您想办理零存整取，您可以进入我行电话银行或网上银行等电子渠道，根据提示进行零存整取的开户；或本人持有效身份证件、账户到我行任一网点办理。
零存整取支取	零存整取到期后逾期部分按活期利率计息，可通过我行网上银行或任一网点办理支取；未到期提前支取，您需要持本人有效身份证件、账户到任一网点办理，支取后按活期计息。
整存整取的定义	整存整取是指在存款是约定存期，本金一次存入，全部或部分支取本金和利息的服务。
整存整取的特点	整存整取的特点为：利率较高；可约定转存；可质押贷款；可提前支取。
济宁银行整存整取的年利率	济宁银行整存整取年利率为：1.三个月定期存款2.82%2.六个月定期存款3.06%3.一年期定期存款3.30%4.两年期定期存款4.02%5.三年期定期存款4.8%6.五年期定期存款5.225%
整存整取如何办理	若您想办理整存整取，您可以进入我行手机银行、电话银行或网上银行，根据提示进行整存整取的开户；或本人持有效身份证件、账户到我行任一网点办理整存整取存款。
整存整取转存方式	您在开立整存整取账户时，可选择“到期自动转存”，整存整取账户到期后，我行系统就将此账户连本带息自动转存成相同期限的整存整取；如果您没有选择“到期自动转存”，整存整取账户到期后则自动按活期计息，但无法自动转成活期。
整存整取支取如何办理	请持定期存单或一本通或儒商卡到营业网点即可办理取款，如果取款金额超过5万（含5万），必须至少提前一天与取款网点预约。
整存整取提前支取如何办理	整存整取未到期支取，需要您本人持身份证、账户到我行任一网点办理提前支取。
整存整取可以存的币种	整存整取可以受理人民币和外币存款，外币指的是分行受理的外币币种。目前，现汇项下我行可以办理美元、港币、日元、欧元和英镑五个币种的个人外汇储蓄业务。现钞项下可以办理美元、港币、日元和欧元四个币种的个人外汇储蓄业务。起存金额：人民币为50元，外币为不低于50元人民币的等值外币。
整存整取的起存金额	整存整取起存金额：人民币为50元，外币为不低于50元人民币的等值外币。
整存整取的利息计算	整存整取定期存款按逐笔计息法中对年对月对日的计息公式计算利息。计息公式如下：1.计息期为整年（月）的，计息公式为：利息=本金*年（月）数*年（月）利率；2.计息期有整年（月）又有零头天数的，计息公式为：利息=本金*年（月）数*年（月）利率＋本金*零头天数*日利率。例如客户于2012年1月1日开1万元一年期整存整取账户，2013年1月1日支取，应得利息=10000*1*3.30%＝330元（案例中整存整取利率仅供参考）。
存折口头挂失如何取消	如果您办理存折口头挂失后找到了存折，需要本人持有效身份证件、存折在我行任一网点办理口挂解除。支取方式为“凭存折支取”的存折只能在开户行办理。
存折口头挂失办理流程	如果您的存折丢失，请尽快办理口头挂失。需要您持本人有效身份证件到任一网点办理；或拨打我行客服电话400-677-0537办理口头挂失。支取方式为“凭存折支取”的存折只能在开户行办理。
存折书面挂失如何取消	如果您办理存折书面挂失后找到了存折，需要本人持有效身份证件、挂失/换卡申请书、取消挂失的存折回办理行办理取消。
存折补登的定义	存折补登是指有时候在办理一些无折交易，因为不能在存折上作实时打印记录，存折有时并不能反映全部交易记录，因此交易记录以银行账户记录为准。当储户持存折办理业务时，未能实时打印的记录就会在此笔交易记录打印同时自动补登在存折上，或者银行工作人员选择补登打印交易也会把未实时打印的记录补登。
存折丢失补办流程	如果您的存折丢失，需要尽快办理口头挂失。然后持有效身份证件到开户行办理书面挂失。
存折满页后换折是否需要身份证	存折满页后换折，客户只需提供旧存折及存折密码即可办理换发新折。
定期一本通挂失流程	如果您的定期一本通丢失，请尽快办理口头挂失。需要您持本人有效身份证件到任一网点办理。支取方式为“凭存折支取”的存折只能在开户行办理。
什么是电话银行	电话银行业务是指我行使用计算机电话集成技术，通过电话自助语音和人工服务方式为客户提供的24小时不间断的金融服务。
个人电话银行的功能	我行个人电话银行为您提供账户查询、人工服务、转账服务、修改密码、口头挂失、明细传真、自助缴费、信息查询等服务。
企业电话银行的功能	企业电话银行为您提供账户查询、人工服务、修改密码、明细传真、信息查询等服务。
个人电话银行怎么签约	签约我行电话银行：1.开通查询功能：1.（1）本人持有效身份证件、儒商卡/存折到我行任一网点申请签约，设置查询密码，开通电话银行查询功能；1.（2）拨打400-677-0537，输入您账号、证件号，验证交易密码后，再设置查询密码，或直接转人工开通电话银行查询功能。2.开通转账功能：本人持有效身份证件、儒商卡/存折到我行任一网点申请签约，设置查询密码，开通电话银行查询、行内转账及缴费功能。
企业电话银行怎么签约	企业电话银行签约，您需要持：1.组织机构代码证正本原件2.预留印鉴3.法人身份证原件及法人授权委托书（法定代表人本人办理时不需要）4.经办人身份证原件及复印件5.到您的账户开户行办理。开通后，您可以进行账户查询类交易。
如何使用电话银行	使用我行电话银行，请拨打我行全国统一客服电话400-677-0537
拨打电话银行怎么收费	拨打我行电话银行400-677-0537我行不会收取任何服务费用；您只需按通话时间向当地通讯公司支付普通市话费。
电话银行签约的费用	签约我行电话银行暂不收取您的费用。
电话银行转账限额是多少	电话银行转账单笔限额及日限额均为5万元。
电话银行如何转账	我行电话银行现支持行内转账，需要您本人持有效身份证件、账户到我行任一网点柜面签约后，拨打400-677-0537根据语音提示选择您要办理的转账业务。大体流程为：选择1.个人业务—3.转账业务
电话银行如何缴费	我行电话银行支持联通手机号、联通固话、联通宽带号的自助缴费，需要您本人持有效身份证件、账户到我行任一网点签约后，拨打400-677-0537根据语音提示选择您要办理的缴费业务。大体流程：选择1.个人业务—8.缴费业务
电话银行如何挂失	通过拨打电话银行，您有两种方式进行挂失：1.选择3键“紧急挂失”，即可根据提示输入相应信息对您的账户或手机银行卡进行挂失；2.也可通过转人工，根据人工坐席提示进行挂失。
电话银行如何重置查询密码	通过拨打电话银行，您有两种方式重置查询密码：1.如果您忘记了电话银行查询密码，应及时携带本人有效身份证件及签约账户，到我行任一网点办理密码重置；2.也可通过电话银行进行查询密码重置。
电话银行如何修改支付密码	通过拨打电话银行，您有两种方式修改支付密码：1.选择4密码服务后，再选择3交易密码修改，即可根据提示修改密码；2.也可通过转人工，根据人工坐席提示修改密码。
电话银行如何修改短信通知号码	通过拨打电话银行，您有两种方式修改短信通知号码：1.选择1个人业务后，再选择7短信通知业务，即可根据提示修改号码；2.也可通过转人工，根据人工坐席提示修改号码。
个人电话银行怎么解约	您有两种方式进行个人电话银行解约：1.本人持有效身份证件、签约账户到我行任一网点申请解约；2.也可通过转人工，根据人工坐席提示解约电话银行；3.也可通过“1.个人业务-6.账户管理-3.删除签约账户”解约。
企业电话银行怎么解约	企业电话银行解约，您需要持：1.组织机构代码证正本原件；2.预留印鉴；3.法人身份证原件及法人授权委托书（法定代表人本人办理时不需要）；4.经办人身份证原件及复印件；5.到您的账户开户行办理。开通后，您可以进行账户查询类交易。
外汇现钞存入限额是多少	外汇现钞存入限额：如果您存入等值5000美元（含）以下可直接办理，高于等值5000美元凭本人有效身份证件、经海关签章的申报单或原存款银行外币现钞提取单据办理。
外汇现钞提取限额是多少	外汇现钞提取限额为单日提取等值1万美元（含）以下可直接办理，高于等值1万美元凭本人有效身份证件、提钞用途等证明材料向当地外汇局事前报备，再凭个人有效身份证件和经外汇局签章的提取外币现钞备案表办理提取手续。
我把外币换成人民币的限额是多少	个人结汇年度总额等值5万美元。
我用人民币换外币的限额是多少	个人购汇年度总额等值5万美元。
境内个人外汇储蓄账户汇出的限额是多少	境内个人外汇储蓄账户汇出单日等值5万美元（含）以下可直接办理。
境内个人外汇现钞汇出的限额是多少	境内个人外汇现钞汇出单日等值1万美元（含）以下可直接办理。
境外个人外汇储蓄账户汇出限额是多少	我行对境外个人外汇储蓄账户汇出无限额设置。
境外外汇现钞汇出限额是多少	境外外汇现钞汇出单日等值1万美元（含）以下可直接办理。
携带外币现钞入境限额是多少	如果您需要携带外币现钞入境：1.您携带外币现钞入境，等值5000美元（含）以下可直接办理；2.如果您携入等值5000美元以上需向海关办理申报。
携带外币现钞出境限额是多少	如果您需要携带外币现钞出境：1.您携带外币现钞出境，等值5000美元（含）以下可直接办理；2.您携出等值5000美元至1万美元，应向我行申领携带证；3.如果您携带等值1万美元以上出境的，需向当地外汇局申领携带证。
如何开立外币现钞账户	按照外管政策要求，外币现钞账户仅针对个人开立,只要持有在我行营业部开立的儒商卡即可直接办理外币存入业务，无需重复办理独立的外币账户开立手续。
如已有我行儒商卡，是否需要在营业部重新开卡	目前在我行，只要持有在我行营业部开立的儒商卡即可直接办理外币存入业务，无需重复办理独立的外币账户开立手续。
存入外币现钞是否可以代办	存入外币现钞按照规定可以委托他人办理，委托他人办理的除提供账户所有人的身份证外，还要提供代理人身份证件。
可以受理外币现钞业务和现汇业务的网点	1.对公外币业务我行下属分支行均可受理。2.个人外币现钞目前只有总行营业部可以办理，个人现汇业务总行营业部、菏泽分行、淄博分行、枣庄分行、泰安分行可以办理。
开立外币现汇账户需要什么条件	经有权管理部门核准或备案具有涉外经营权或有经常项目、资本项目外汇收入的境内机构（含外商投资企业）、境外机构、个人均可开立外币现汇账户。
申领携带证，需要提供的资料是什么	在我行申领携带证，需要提供的资料：1.护照或往来港澳通行证、往来台湾通行证；2.有效签证或签注；3.存款证明或相关购汇凭证；4.如从直系亲属外汇存款中提取外币现钞的，还应提供亲属关系证明。
什么是保函备用信用证业务	保函是指我行应客户（申请人）要求对外开立的具有担保性质的书面承诺文件，一旦申请人未按其与受益人签订的合同约定偿还债务或履行约定义务时，由银行履行担保责任。保函的种类包括投标保函、履约保函和预付款保函等。
什么是提货担保业务	提货担保是指我行根据客户要求，开立信用证后，在进口货物先于承运货物提单到达时，为客户先行提货而向承运人（船公司或其他运输公司）出具的书面保证书。
提货担保业务办理流程	提货担保业务办理流程：1.由您填写《提货担保申请书》并提交提单、商业发票、装箱单等单据副本；2.我行出具《提货担保书》，客户凭以办理提货手续；3.正本提单到达后，需要您及时用正本提单向运输公司换回我行出具的《提货担保书》。
什么是出口跟单托收	出口跟单托收是指我行根据您的指示，将您提交的出口单据寄交境外代收行委托收汇的结算业务。按交单方式不同分为付款交单（D/P）和承兑交单（D/A）两种方式。
出口跟单托收办理流程	出口跟单托收办理流程：1.需要您填写《出口托收委托书》，明确托收方式，并提交相应的单据。 　　2.我行向客户指定的国外代收行寄单。3.托收项下收汇，我行及时通知客户并办理入账、结汇。
什么是出口信用证	出口信用证是指我行作为出口方银行，对以客户为受益人的信用证办理的信用证通知、转通知、议付、转让等业务。
出口信用证业务流程	出口信用证业务流程:1.客户将我行开证路线提供给国外客户；2.收到国外来证后,我行及时审核信用证并通知您；3.需要您申请向我行交单、融资；4.出口信用证收汇、归还融资。
什么是光票托收	光票托收是指企业或个人将从国外收到的清算票据（银行汇票、本票、支票）委托我行向境外收款的结算业务。
光票托收业务办理流程	光票托收业务办理流程：1.客户在收到国外的各类票据后，在票据背面背书（盖财务章或带身份证原件并经有关人员签字）后，可向我行提出托收申请；2.我行将根据票据的种类、币别、金额、付款地区、收款人资信情况，提醒您选择“立即贷记”、“收妥贷记”或“安全托收”等托收方式。
什么是进口代收业务	进口代收业务是指我行收到国外托收行寄交的托收单据后，向您提示单据，并要求您付款赎单或承兑赎单的结算方式。
进口代收业务办理流程	进口代收业务办理流程为：1.需要您将我行的收单地址通知境外客户；2.进口代收项下到单后，我行及时通知您；3.根据赎单条件，需要您付款赎单或承兑赎单。
什么是代客外汇买卖	代客外汇买卖是指我行为满足您调整外汇资产币别结构、规避汇率风险、降低汇兑成本而提供的不同币种间的外汇买卖业务。
什么是出口托收押汇	出口托收押汇是指采用托收结算方式的客户（出口商），在提交单据、委托我行向进口商收取款项的同时，要求我行先预支部分或全部货款，待托收款项收汇后归还我行融资的业务。
出口信用证押汇/贴现业务流程	出口信用证押汇/贴现业务流程：1.需要您向我行提交《出口押汇/贴现申请书》；2.我行会为您审核提交的单据，根据不同情况支用境外银行金融机构额度或您的授信额度后为您发放出口押汇或贴现款项；3.出口收汇后，偿还出口押汇或出口贴现融资。
什么是打包贷款	打包贷款是指我行根据您的要求，将以您为受益人的正本信用证留存，在提交单据前向其发放的用于该信用证项下备货的专用贷款。
打包贷款业务办理流程	打包贷款业务办理流程：1.需要您提供《打包贷款申请书》、出口合同等资料；2.我行审批，融资入账；3.装船发货，向我行交单；4.出口收汇后，归还打包贷款。
什么是订单融资	订单融资也称作非信用证项下打包贷款，是指汇款和跟单托收方式下，出口商凭符合条件的出口合同或订单向我行申请的用于出口货物备料、生产和装运等履约活动的短期贸易融资。
订单融资业务办理流程	订单融资业务办理流程:1.需要您提出申请，提交《订单融资业务申请书》、出口合同或订单等；2.由我行审批，融资入账；3.申请人备货、生产、发货；4.出口收汇后，归还我行融资。
什么是进口代付	进口代付是指在进口业务项下，我行根据会根据您的申请，指示代付行先行支付进口项下货款，在融资到期日，您需要将融资本息归还我行，我行归还代付行的短期贸易融资。
进口代付业务办理流程	进口代付业务办理流程：1.需要您提交《进口代付申请书》及相关单证资料，并签署《信托收据》；2.我行审批，指示代付行支付款项；3.代付到期，需要您归还我行融资，我行向代付行还款。
什么是进口开证业务	进口开证是指我行根据客户（申请人）的要求和指示，向受益人（出口商）开具的在规定的期限内、凭规定的单据支付一定金额的书面承诺。
进口开证办理流程	进口开证业务办理流程：1.需要您填写《跟单信用证开立申请书》，并提交进口合同等相关资料；2.我行审批，对外开证；3.进口到单。即期信用证项下，由您付款赎单；远期信用证项下，由您承兑赎单；4.远期信用证承兑到期，由您付款。
什么是出口商业发票融资业务	出口商业发票融资业务是指客户（出口商）采用赊销(O/A)、承兑交单(D/A)等信用方式向进口商销售货物或提供服务时,在按照合同规定出运货物或提供服务后,将出口商业发票项下应收账款债权转让与我行,向我行申请的资金融通业务。
出口商业发票融资业务办理流程	出口商业发票融资业务办理流程：1.需要您提出申请，并提交出口合同、发票、报关单等材料；2.我行审批、放款；3.对外寄单；4.出口收汇后，归还我行融资。
什么是进口押汇	进口押汇是指我行根据您的要求，在您提交《信托收据》的前提下，为您对外支付货款所提供的短期贸易融资。
进口押汇业务的办理流程	进口押汇业务办理流程：1.需要您填写《进口押汇申请书》，签署《信托收据》。货到汇款项下还需提供运输单据、正本进口货物报关单等资料；2.我行审批，融资入账；3.融资到期，需要您归还我行进口押汇。
单位外汇储蓄起存限额是多少	单位外汇储蓄起存限额为：1.单位活期存款起存额为不低于1000元人民币的等值外币。2.单位定期存款分为一个月、三个月、六个月、一年和两年等五个档次，起存金额为不低于10000元人民币的等值外币。3.单位通知存款起存金额为不低于50万元人民币的等值外币。
个人外汇储蓄起存限额是多少	个人外汇储蓄起存限额为：1.个人活期储蓄起存额不低于20元人民币的等值外币。2.定期储蓄存款起存额不低于50元人民币的等值外币，同时支持预约转存。3.通知存款起存金额不低于2万元人民币的等值外币。
个人外汇储蓄存款可以受理哪些币种	目前个人外汇储蓄可以办理现汇和现钞储蓄。现汇项下我行可以办理美元、港币、日元、欧元和英镑五个币种的个人外汇储蓄业务。现钞项下可以办理美元、港币、日元和欧元四个币种的个人外汇储蓄业务。
济宁银行SWIFT代码是多少	我行的SWIFT代码为BKJNCNBJXXX。
办理国际业务的收费标准	办理国际业务的具体收费建议您拨打我行客服热线400-677-0537咨询或直接到我行支行咨询。
开立临时存款账户需要什么资料	存款人申请开立临时存款账户,应向银行出具下列证明文件：（1）临时机构，应出具其驻在地主管部门同意设立临时机构的批文。（2）异地建筑施工及安装单位，应出具其营业执照正本或其隶属单位的营业执照正本，以及施工及安装地建设主管部门核发的许可证或建筑施工及安装合同。（3）异地从事临时经营活动的单位，应出具其营业执照正本以及临时经营地工商行政管理部门的批文。（4）注册验资资金,应出具工商行政管理部门核发的企业名称预先核准通知书或有关部门的批文。
支行的地址和电话是什么	LB0101
营业部	营业部：山东省济宁市金宇路6号（济宁银行金宇路办公大楼） 电话：0537-2899026。
市北支行	市北支行：洸河路84-18号（仙营绿地向西路南） 电话：0537-2359376。
洸河支行	洸河支行：金宇路、琵琶山路交叉口向北路东（佳世客东门对面） 电话：0537-2399706。
洸河中路支行	洸河中路支行：洸河路158号（洸河路、古槐路交叉口向东路南，湖嘉对面） 电话：0537-2272866。
西城支行	西城支行：太白西路148-6号（太白路、济安桥路交叉口向西路北，鲁抗医院向东） 电话：0537-2271276。
共青团支行	共青团支行：红星中路20号（市政府对过，原人行大楼） 电话：0537-2310939。
开发区支行	开发区支行：吴泰闸路43号（贵和花园酒店对面） 电话：0537-2330666。
吴泰闸支行	吴泰闸支行：吴泰闸路145号（吴泰闸路、共青团路交叉口向东路北，都市花园附近） 电话：0537-2785768。
任城支行	任城支行：运河路22号（太白路、运河路交叉口向南路东，秀水城向南） 电话：0537-2328922。
运河支行	运河支行：红星西路（红星西路阳光花园小区，锡龙大酒店向东路南） 电话：0537-2213567。
红星支行	红星支行：红星东路37号（红星东路、英华路交叉口向东路南，火炬大厦附近） 电话：0537-2324161。
海关支行	海关支行：琵琶山路、海关路交叉口向南路西（琵琶山北路石油公司综合楼） 电话：0537-2164721。
樱花支行	樱花支行：太白东路67号（太白路、英华路交叉口向东路南，齐鑫花园西邻） 电话：0537-2335888。
太白支行	太白支行：济宁市万达广场6号楼一层0114-0118（万达金街内） 电话：0537-2319256。
市中支行	市中支行（原营业部）：济宁市古槐路58号（济宁附属医院对面古槐路路东） 电话：0537-2215490。
解放路支行	解放路支行：建设南路12号（解放路、建设南路交叉口向东路北，电力二处向南） 电话：0537-2896559。
龙行路支行	龙行路支行：龙行路中段212号（龙行路与环城西路交汇口） 电话：0537-2882855。
曲阜支行	曲阜支行：曲阜弘道路36号（曲阜舞雩台路、弘道路交叉口向北路东） 电话：0537-4891678。
曲阜静轩路支行	曲阜静轩路支行：曲阜静轩西路39号 电话：0537-4676678。
邹城支行	邹城支行：峄山北路、太平东路交叉口向东路南，邹城市文化广场对面 电话：0537-5115788。
邹城宏河支行	邹城宏河支行：邹城市宏河路3696号（邹城宏河路、凫山南路交叉口向西，馨苑小区附近）电话：0537-5309866。
邹城钢山支行	邹城钢山支行：邹城市东滩路1869号鑫源国际城B座 电话：0537-5111607。
微山支行	微山支行：微山县奎文东路52号（微山县中医院附近） 电话：0537-8233766。
微山欢城支行	微山欢城支行：微山县欢城镇工商所南邻（微山县第三人民医院附近） 电话：0537-8615788。
梁山支行	梁山支行：梁山县水泊中路117号（水泊中路、文化路向西南路北，银都小区附近） 电话：0537-7305966。
梁山拳铺支行	梁山拳铺支行：梁山县拳铺镇工业园区220国道东侧  电话：0537-7763966。
嘉祥支行	嘉祥支行：嘉祥县呈祥路9号  电话：0537-6822799。
金乡支行	金乡支行：金乡县奎星路11号（奎星路、北斗路交叉口向西，金乡县卫生局对面） 电话：0537-8753311。
兖州支行	兖州支行：兖州市北护城河路72号（北护城河路、中御桥路北交叉口，姚树人麻辣鱼兖州店） 电话：0537-3480622。
兖州紫金城支行	兖州紫金城支行：兖州市建设西路华勤紫金城华金中心36号 电话：0537-5179877。
汶上支行	汶上支行：汶上县中都大街2888号  电话：0537-7167189。
泗水支行	泗水支行：泗水县泉鑫路7号   电话：0537-4368692。
鱼台支行	鱼台支行：鱼台县湖陵二路401号（新亿客购物广场附近） 电话：0537-6219388。
枣庄分行	枣庄分行：枣庄市市中区青檀路2号（中国银行对面） 电话：0632-3607088。
滕州支行	滕州支行：枣庄市滕州市学院中路（龙山中路、教场巷交叉口向西路南，枣庄市仁和耳鼻喉滕州医院斜对） 电话：0632-5806667。
滕州荆河中路支行	滕州荆河中路支行：滕州市荆河中路108号电话：0632-5800021。
菏泽分行	菏泽分行：菏泽市长江路、和平路交叉口东南角，中达商城附近，平安人寿旁边电话：0530-5869015。
淄博分行	淄博分行：淄博市张店区新村西路42号铂金商务大厦（柳泉路与新村西路交叉口，精彩电影城附近） 电话：0533-5207788。
泰安分行	泰安分行：泰安市泰山大街3168号（光彩大市场附近） 电话：0538-8725877。
支行几点下班	济宁银行营业网点营业时间：春夏季：8:30-16:30秋冬季：8:30-16:00。
火炬路支行	火炬路支行：火炬中路新亚福综合楼。电话：0537-2655117。
郓城支行	郓城支行：郓城县金河路与金利街交汇处（人社局办公大楼西楼） 电话：0530-6308906。
牡丹支行	牡丹支行：菏泽市中华西路时代奥城北门东侧  电话：0530-5869055。
牡丹路小微支行	牡丹路小微支行：菏泽市牡丹路汽车站北邻种子公司楼下 电话：0530-5869051。
曹州路小微支行	曹州路小微支行：菏泽市青州路南华街口东50米路北 电话：0530-5869071。
枣庄解放路支行	枣庄解放路支行：枣庄市市中区解放路279号 电话：0632-3607001。
薛城支行	薛城支行：山东省枣庄市薛城区燕山路601号 电话：0632-7661899。
宁阳支行	宁阳支行：泰安市宁阳县七贤路与文化街交汇处 电话：0538-5688797。
临沂分行	临沂分行：山东省临沂市沂蒙北路81号（临沂市广州路与沂蒙路交汇处） 电话：0539-8962026。
日照分行	日照分行：山东省日照市东港区海曲东路58号海曲国际大厦 电话：0633-3387676。
新天地小微支行	新天地小微支行：曲阜市裕隆路99号新天地商住中心2号楼208-209 电话：0537-4431456。
兴隆街小微支行	兴隆街小微支行：济宁市兖州区兴隆街南首（金都商城对过） 电话：0537-3416898。
城后路小微支行	城后路小微支行：微山县城后路30号 电话：0537-8223688。
嘉祥建设路支行	嘉祥建设路支行：嘉祥县建设路中央华府6号楼 电话：0537-6867799。
呈祥路小微支行	呈祥路小微支行：嘉祥县呈祥路113号 电话：0537-6819399。
金兴商贸城小微支行	金兴商贸城小微支行：金乡县文峰路西段南中心大道西侧 电话：0537-8710266。
奎星湖小微支行	奎星湖小微支行：金乡县奎星湖花园C区望湖绿苑小区1号楼 电话：0537-8720286。
泗水光明路支行	泗水光明路支行：山东泗水县光明路13号 电话：0537-4368699。
湖凌三路小微支行	湖凌三路小微支行：鱼台县湖凌三路金贤源东区门南 电话：0537-6213003。
森泰御城社区支行	森泰御城社区支行：济宁市森泰御城小区红星路一层门面房 电话：0537-3234002。
冠亚星城社区支行	冠亚星城社区支行：济宁市冠亚星城小区内A13号商铺 电话：0537-3234008。
科苑路社区支行	科苑路社区支行：济宁市科苑商业街2号楼一层南端 电话：0537-3234004。
龙城美墅社区支行	龙城美墅社区支行：济宁市太白路龙城美墅3号楼东起第10户1-2层营业房电话：0537-3234006。
豪德商贸城社区支行	豪德商贸城社区支行：济宁市市中区105国道与太白路交汇处南200米沿街营业楼 电话：0537-3234010。
豪丰庄园社区支行	豪丰庄园社区支行：济宁市古槐辖区豪丰庄园北数第四户营业房 电话：0537-3234012。
巨野支行	巨野支行：巨野县人民路与招商街交汇处（路口西南角）电话：0530-8158900。
曹县支行	曹县支行：曹县青菏南路路西建委南鑫龙小区 电话：0530-3820015
滕州善国路支行	滕州善国路支行：滕州市善国南路1515号 电话：0632-5806017
义乌社区支行	义乌社区支行：淄博市张店区华光路151甲15号 电话：0533-3129966
沂源支行	沂源支行：淄博市沂源县鲁山路23号 电话：0533-3368866
泰山支行	泰山支行：泰安市泰山区虎山路与灵山大街交汇处 电话：0538-5010888
南门支行	南门支行：济宁市任城路33号 电话：0537-2264716
水泊支行	水泊支行：梁山县水泊中路90号 电话：0537-7610766
宝相寺支行	宝相寺支行：汶上县宝相寺路68号 电话：0537-7167198
微信银行的功能	我行微信银行可以为您提供账户查询，资金管理，紧急挂失，开户行查询，无卡取现，金融信息查询等一系列功能服务。
微信银行的绑定方式	您可以关注我行微信银行后，选择“账户管理——账号绑定”绑定微信银行。
如何解绑微信银行	您可以选择“账户管理——账号解绑”解绑微信银行。
微信银行的收费标准	目前签约办理我行微信银行不收取任何费用。
微信银行登录密码设置规则	目前我行微信银行登录时不需要校验登录密码。
微信银行支付密码设置规则	目前我行微信银行支付密码就是您的银行卡交易密码。
微信银行能否进行转账汇款	我行微信银行暂时只支持本人账户互转。
微信银行行内转账	我行微信银行暂时只支持本人账户互转，无法转向他人账户。
微信银行跨行转账	我行微信银行暂时只支持本人账户互转，无法进行跨行转账。
微信银行定活互转限额	我行微信银行对定活互转，未做任何限额设定。
网上银行如何查看定期存款	您好，网上银行查看定期存款需要您先登录网上银行，进入用户界面，点击“我的常用应用”-“定期存款”，进行查看。
如何申请个人贷款	您好，我行根据不同的个人贷款需求制定了多种针对性强的贷款产品。我行微贷中心专为个体工商户、小微企业办理个人经营性贷款业务。您可以根据自己的需求申请贷款。对符合条件的贷款客户建议您直接联系我行各网点微贷中心咨询。
我的贷款还款历史可查询多长时间	您好，我的贷款还款历史查询可查询一个月、三个月、半年、一年内的历史记录。
我的普通贷款页面可以显示全部吗	您好，我的贷款普通贷款页面不包括全部的贷款信息，其中已经结清或者尚未发放的贷款不显示。
为什么我的贷款没有还款按钮	您好，我的普通贷款中还款按钮只有到当贷款状态为正常时才显示，如果贷款已逾期或转非应计等非正常状态，则不显示。
我的贷款功能	您好，我的贷款功能实现了客户查看我的贷款，包括客户目前已有的未结清普通贷款和已经申请的循环贷款额度信息。
如何办理贷款	您好，您可以到贷款申请页面去做贷款申请，也可直接到网点咨询办理。
定期理财功能能够做什么	您好，定期理财功能，能够实现账号的定期理财功能，可以通过此功能实现普通定期的转存、通知存款的转存、其它定期产品的转存等等功能，同时可以实现定期理财的查询及理财明细等信息的查询。
定期理财不到结息日可以提前支取么	您好，普通定期产品不到结息日可以提前支取一次，支取金额的利率按活期计息。
定期理财产品有哪些产品类型	您好，定期理财产品包括普通定期、通知存款、大掌柜、小掌柜等产品。您也可以直接到定期产品页面中查看详细信息。
怎么续存定期理财产品	您好，定期存入或者定活互转时，可以选择是否自动续存，也可以在我的定期中选择零整进行续存。
